Date,Temperature,Humidite,Consommation,Coupure
2026-07-01,34.6,59.6,3083,Oui
2026-07-02,34.4,61.0,2790,Oui
2026-07-03,35.9,56.1,3407,Oui
2026-07-04,37.6,54.4,3328,Oui
2026-07-05,35.8,63.8,3267,Oui
2026-07-06,36.2,65.6,3581,Oui
2026-07-07,39.0,57.7,3668,Oui
2026-07-08,38.4,62.5,3605,Oui
2026-07-09,37.2,60.9,3463,Non
2026-07-10,38.8,55.6,3691,Oui
2026-07-11,37.8,60.4,3349,Oui
2026-07-12,38.0,65.0,3620,Oui
2026-07-13,39.1,57.8,3671,Oui
2026-07-14,36.4,66.3,3377,Oui
2026-07-15,36.7,49.3,3242,Oui
2026-07-16,38.3,61.9,3878,Oui
2026-07-17,37.6,59.4,3432,Oui
2026-07-18,39.3,56.6,3805,Oui
2026-07-19,37.5,59.5,3633,Oui
2026-07-20,36.7,51.9,3183,Oui
2026-07-21,40.1,56.2,4049,Oui
2026-07-22,37.6,60.5,3724,Oui
2026-07-23,37.7,65.0,3322,Oui
2026-07-24,35.3,58.9,3130,Non
2026-07-25,36.1,57.1,3277,Oui
2026-07-26,36.4,58.0,3425,Oui
2026-07-27,34.3,65.4,2738,Non
2026-07-28,35.8,61.9,3008,Oui
2026-07-29,34.0,59.9,2926,Oui
2026-07-30,33.9,64.1,2870,Non
2026-07-31,33.0,63.2,2686,Non
2026-08-01,35.6,64.6,3205,Oui
2026-08-02,32.7,60.3,2502,Non
2026-08-03,30.8,63.2,2275,Non
2026-08-04,32.8,61.4,2656,Non
2026-08-05,29.6,59.6,2200,Non
2026-08-06,31.1,65.5,2556,Non
2026-08-07,29.0,67.0,2200,Non
2026-08-08,29.0,66.0,2200,Non
2026-08-09,30.0,64.2,2200,Non
2026-08-10,30.5,59.2,2200,Non
2026-08-11,29.5,63.9,2200,Oui
2026-08-12,29.0,64.6,2200,Non
2026-08-13,29.0,62.8,2200,Non
2026-08-14,29.0,65.4,2200,Non
2026-08-15,29.0,67.6,2200,Non
2026-08-16,29.0,73.5,2200,Non
2026-08-17,30.6,65.4,2467,Non
2026-08-18,29.8,66.4,2200,Non
2026-08-19,29.0,65.7,2200,Non
2026-08-20,30.3,57.3,2200,Non
2026-08-21,29.7,65.3,2200,Non
2026-08-22,29.7,65.7,2200,Oui
2026-08-23,31.8,73.6,2482,Non
2026-08-24,32.8,62.2,2661,Non
2026-08-25,33.1,63.9,2803,Non
2026-08-26,31.3,64.0,2346,Non
2026-08-27,32.5,58.5,2776,Non
2026-08-28,33.9,66.7,2794,Non
2026-08-29,35.3,64.0,3472,Oui
